Address,Is POH User,Timestamp,Direct Holdings (sDAI),Indirect Holdings (sDAI),Total Holdings (sDAI),Share of Holdings,Share of Holdings (PoH Users)
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1732302930,"6,926.968",0,"6,926.968",4.9693%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1732302930,"4,305.8",0,"4,305.8",3.0889%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1732302930,"1,328.175",0,"1,328.175",0.9528%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1732302930,"1,225.466",0,"1,225.466",0.8791%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1732302930,"1,171.237",0,"1,171.237",0.8402%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1732302930,910.621,0,910.621,0.6533%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1732302930,258.867,0,258.867,0.1857%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1732302930,246.516,0,246.516,0.1768%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1732302930,239.011,0,239.011,0.1715%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1732302930,54.197,0,54.197,0.0389%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1732302930,38.78,0,38.78,0.0278%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1732302930,23.686,0,23.686,0.0170%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1732302930,9.617,0,9.617,0.0069%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1732302930,7.319,0,7.319,0.0053%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1732302930,4.187,0,4.187,0.0030%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1732302930,3.36,0,3.36,0.0024%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1732302930,1.988,0,1.988,0.0014%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1732302930,1.836,0,1.836,0.0013%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1732302930,0.901,0,0.901,0.0006%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1732600502,"42,928.333","23,854.096","66,782.429",47.9086%,0%
0x334f12afb7d8740868be04719639616533075234,No,1732600502,"55,854.591",0,"55,854.591",40.0691%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1732600502,"6,926.968",0,"6,926.968",4.9693%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1732600502,"4,305.8",0,"4,305.8",3.0889%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1732600502,"1,328.175",0,"1,328.175",0.9528%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1732600502,"1,225.466",0,"1,225.466",0.8791%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1732600502,"1,171.237",0,"1,171.237",0.8402%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1732600502,910.621,0,910.621,0.6533%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1732600502,258.867,0,258.867,0.1857%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1732600502,246.516,0,246.516,0.1768%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1732600502,239.011,0,239.011,0.1715%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1732600502,54.197,0,54.197,0.0389%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1732600502,38.78,0,38.78,0.0278%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1732600502,23.686,0,23.686,0.0170%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1732600502,9.617,0,9.617,0.0069%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1732600502,7.319,0,7.319,0.0053%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1732600502,4.187,0,4.187,0.0030%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1732600502,3.36,0,3.36,0.0024%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1732600502,1.988,0,1.988,0.0014%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1732600502,1.836,0,1.836,0.0013%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1732600502,0.901,0,0.901,0.0006%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1732611529,"42,928.333","23,854.096","66,782.429",47.9086%,0%
0x334f12afb7d8740868be04719639616533075234,No,1732611529,"55,854.591",0,"55,854.591",40.0691%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1732611529,"6,926.968",0,"6,926.968",4.9693%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1732611529,"4,305.8",0,"4,305.8",3.0889%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1732611529,"1,328.175",0,"1,328.175",0.9528%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1732611529,"1,225.466",0,"1,225.466",0.8791%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1732611529,"1,171.237",0,"1,171.237",0.8402%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1732611529,910.621,0,910.621,0.6533%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1732611529,258.867,0,258.867,0.1857%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1732611529,246.516,0,246.516,0.1768%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1732611529,239.011,0,239.011,0.1715%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1732611529,54.197,0,54.197,0.0389%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1732611529,38.78,0,38.78,0.0278%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1732611529,23.686,0,23.686,0.0170%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1732611529,9.617,0,9.617,0.0069%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1732611529,7.319,0,7.319,0.0053%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1732611529,4.187,0,4.187,0.0030%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1732611529,3.36,0,3.36,0.0024%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1732611529,1.988,0,1.988,0.0014%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1732611529,1.836,0,1.836,0.0013%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1732611529,0.901,0,0.901,0.0006%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1733382851,"42,928.333","23,854.096","66,782.429",47.9086%,0%
0x334f12afb7d8740868be04719639616533075234,No,1733382851,"55,854.591",0,"55,854.591",40.0691%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1733382851,"6,926.968",0,"6,926.968",4.9693%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1733382851,"4,305.8",0,"4,305.8",3.0889%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1733382851,"1,328.175",0,"1,328.175",0.9528%,0%
